age,  61 , 0.00813592953568239 , 0.006452 , 0.6452 , 0.8135929535682389 , 98.54120704643177 , 0.8135929535682389 , 0.6452
int,  61 , 0.00813592953568239 , 0.006452 , 0.6452 , 0.8135929535682389 , 98.54120704643177 , 0.8135929535682389 , 0.6452
age,  62 , 0.0028824037567862855 , 0.006907 , 0.6806241170697042 , 0.2840355453888901 , 97.57654738397316 , 1.097628498957129 , 1.325824117069704
int,  62 , 0.008449935428570754 , 0.006907 , 0.6806241170697042 , 0.8326668365957698 , 97.02791609276629 , 1.6462597901640086 , 1.325824117069704
age,  63 , 0.0029918366372121454 , 0.007798 , 0.7609019165002228 , 0.29193308939603785 , 96.52371237807691 , 1.389561588353167 , 2.086726033569927
int,  63 , 0.008770744326763424 , 0.007798 , 0.7566236896913916 , 0.8510070446083075 , 95.42028535846659 , 2.497266834772316 , 2.0824478067610954
age,  64 , 0.003103602372075105 , 0.008516 , 0.8219959346117028 , 0.29957122269809466 , 95.40214522076711 , 1.6891328110512616 , 2.90872196818163
int,  64 , 0.009098392124368205 , 0.008516 , 0.8125991501127013 , 0.8681711728104392 , 93.73951503554345 , 3.365438007582755 , 2.895046956873797
age,  65 , 0.0032177130756548657 , 0.009178 , 0.8756008888362006 , 0.3069767301223867 , 94.21956760180852 , 1.9961095411736482 , 3.7843228570178304
int,  65 , 0.009432914335105541 , 0.009178 , 0.8603412689962178 , 0.8842368151446192 , 91.99493695140261 , 4.249674822727374 , 3.7553882258700146
age,  66 , 0.00333418073584608 , 0.010084 , 0.9501101196966371 , 0.3141450672376974 , 92.95531241487419 , 2.310254608411346 , 4.7344329767144675
int,  66 , 0.009774346102190716 , 0.010084 , 0.9276769442179438 , 0.8991903534122228 , 90.16806965377243 , 5.148865176139597 , 4.683065170087959
age,  67 , 0.0034530172173915766 , 0.011251 , 1.0458402199797494 , 0.32097629421657353 , 91.58849590067786 , 2.6312309026279195 , 5.780273196694217
int,  67 , 0.010122722207812214 , 0.011251 , 1.0144809516745936 , 0.9127463211198008 , 88.24084238097804 , 6.061611497259397 , 5.697546121762553
age,  68 , 0.0035742342649853157 , 0.01233 , 1.129286154455358 , 0.3273587403266699 , 90.13185100589583 , 2.9585896429545895 , 6.909559351149575
int,  68 , 0.010478077082228244 , 0.01233 , 1.0880095865574593 , 0.9245943482686407 , 86.22823844615193 , 6.986205845528038 , 6.785555708320012
age,  69 , 0.0036978435062521714 , 0.013535 , 1.2199346033648 , 0.3332934799486401 , 88.57862292258238 , 3.2918831229032297 , 8.129493954514375
int,  69 , 0.010840444812502124 , 0.013535 , 1.1670992073686663 , 0.934752460154784 , 84.12638677862849 , 7.920958305682822 , 7.9526549156886785
age,  70 , 0.003823856454611391 , 0.015072 , 1.3350570046891617 , 0.33871193900310514 , 86.90485397889012 , 3.6305950619063347 , 9.464550959203537
int,  70 , 0.011209859150896695 , 0.015072 , 1.2679529015274886 , 0.9430449466622833 , 81.91538893043871 , 8.864003252345105 , 9.220607817216168
age,  71 , 0.003952284512029471 , 0.016561 , 1.4392312867443993 , 0.3434727084009502 , 85.12214998374476 , 3.974067770307285 , 10.903782245947937
int,  71 , 0.011586353522944523 , 0.016561 , 1.3566007560769955 , 0.9491006551175594 , 79.60968751924415 , 9.813103907462665 , 10.577208573293163
age,  72 , 0.004083138971668667 , 0.018374 , 1.5640343838013264 , 0.3475655679508536 , 83.21055003199258 , 4.321633338258138 , 12.467816629749263
int,  72 , 0.011969961035212176 , 0.018374 , 1.462748398478592 , 0.9529248576307695 , 77.19401426313479 , 10.766028765093434 , 12.039956971771755
age,  73 , 0.004216431020436253 , 0.020832 , 1.7334421782664695 , 0.35085154438245636 , 81.12625630934366 , 4.672484882640594 , 14.201258808015734
int,  73 , 0.01236071448277352 , 0.020832 , 1.608105705129624 , 0.9541731700857558 , 74.6317353879194 , 11.72020193517919 , 13.648062676901379
age,  74 , 0.0043521717414395505 , 0.023483 , 1.9050878769123172 , 0.3530754001983075 , 78.86809303223303 , 5.025560282838902 , 16.106346684928052
int,  74 , 0.012758646356406774 , 0.023483 , 1.7525770421145115 , 0.9521999187793925 , 71.9269584270255 , 12.672401853958583 , 15.40063971901589
age,  75 , 0.00449037211635158 , 0.025871 , 2.040396434836901 , 0.3541470858217615 , 76.47354951157438 , 5.379707368660664 , 18.146743119764952
int,  75 , 0.013163788849529573 , 0.025871 , 1.8608223414655767 , 0.9468312933222554 , 69.11930479223767 , 13.619233147280838 , 17.261462060481467
age,  76 , 0.004631043027691764 , 0.029214 , 2.234098275431134 , 0.35415229826841743 , 73.88529893787482 , 5.733859666929081 , 20.380841395196086
int,  76 , 0.013576173864884966 , 0.029214 , 2.0192513702004313 , 0.9383756992793952 , 66.16167772275784 , 14.557608846560234 , 19.2807134306819
age,  77 , 0.004774195261025632 , 0.032712 , 2.416935898855761 , 0.35274284404866413 , 71.1156201949704 , 6.086602510977745 , 22.797777294051848
int,  77 , 0.013995833020989988 , 0.032712 , 2.1642808016668544 , 0.9259877937962719 , 63.071409127294714 , 15.483596640356506 , 21.444994232348755
age,  78 , 0.004919839507087553 , 0.03678 , 2.6156325107710114 , 0.3498774378062488 , 68.15011024639314 , 6.436479948783994 , 25.41340980482286
int,  78 , 0.014422797658358572 , 0.03678 , 2.3197664277018997 , 0.9096661718705217 , 59.841976527722295 , 16.39326281222703 , 23.764760660050655
age,  79 , 0.005067986363830216 , 0.041825 , 2.850378361055393 , 0.3453838294222463 , 64.9543480559155 , 6.78186377820624 , 28.263788165878253
